is_offer_completed,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social
True,M,71,51000.0,2018,1,21,5,5,7,bogo,True,True,True,False
True,M,39,71000.0,2017,4,27,5,20,10,discount,True,False,True,False
True,F,28,45000.0,2017,9,10,3,7,7,discount,True,True,True,True
False,M,47,68000.0,2017,11,4,0,0,3,informational,True,True,False,True
False,M,49,68000.0,2018,3,9,5,5,7,bogo,True,True,True,False
True,M,26,67000.0,2017,10,17,2,10,7,discount,True,True,True,False
True,F,51,88000.0,2017,4,12,2,10,7,discount,True,True,True,False
False,F,35,33000.0,2017,7,20,0,0,3,informational,True,True,False,True
False,F,118,70598.23,2017,5,6,3,7,7,discount,True,True,True,True
False,M,49,38000.0,2018,7,5,0,0,3,informational,True,True,False,True
True,M,68,69000.0,2016,6,29,5,20,10,discount,True,False,True,False
True,M,39,71000.0,2017,7,24,5,5,5,bogo,True,True,True,True
False,M,59,88000.0,2017,8,11,5,5,5,bogo,True,True,True,True
False,F,49,75000.0,2018,5,1,5,20,10,discount,True,False,True,False
True,M,72,32000.0,2017,2,17,3,7,7,discount,True,True,True,True
True,F,50,81000.0,2016,10,25,2,10,10,discount,True,True,True,True
False,M,73,51000.0,2014,4,26,0,0,3,informational,True,True,False,True
False,M,56,32000.0,2018,3,22,5,5,7,bogo,True,True,True,False
False,F,118,70598.23,2018,1,8,5,5,7,bogo,True,True,True,False
False,M,40,66000.0,2016,6,7,0,0,4,informational,True,True,True,False
True,F,92,65000.0,2016,3,12,2,10,10,discount,True,True,True,True
False,F,68,84000.0,2017,10,15,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2015,10,6,3,7,7,discount,True,True,True,True
False,M,56,50000.0,2017,7,27,0,0,3,informational,True,True,False,True
False,F,32,35000.0,2016,10,29,0,0,4,informational,True,True,True,False
False,M,54,40000.0,2014,4,19,10,10,5,bogo,True,True,True,True
True,F,54,99000.0,2018,6,30,3,7,7,discount,True,True,True,True
False,M,27,65000.0,2017,8,4,0,0,4,informational,True,True,True,False
False,F,118,70598.23,2016,7,18,10,10,5,bogo,True,True,True,True
True,F,64,60000.0,2016,5,19,2,10,10,discount,True,True,True,True
False,M,75,109000.0,2017,12,3,2,10,10,discount,True,True,True,True
True,F,61,78000.0,2016,3,1,2,10,10,discount,True,True,True,True
False,M,41,38000.0,2017,9,16,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2018,5,5,2,10,10,discount,True,True,True,True
False,M,61,48000.0,2018,2,26,10,10,7,bogo,True,True,False,True
False,F,118,70598.23,2018,6,16,0,0,4,informational,True,True,True,False
False,M,57,77000.0,2017,9,8,0,0,4,informational,True,True,True,False
True,F,50,75000.0,2017,12,27,3,7,7,discount,True,True,True,True
True,M,26,61000.0,2018,2,22,2,10,10,discount,True,True,True,True
False,M,23,69000.0,2017,8,22,10,10,7,bogo,True,True,False,True
False,F,40,33000.0,2014,5,24,10,10,5,bogo,True,True,True,True
False,M,47,41000.0,2016,8,4,10,10,7,bogo,True,True,False,True
True,F,72,60000.0,2017,9,7,2,10,7,discount,True,True,True,False
False,F,118,70598.23,2017,12,6,10,10,5,bogo,True,True,True,True
True,F,33,41000.0,2017,9,20,2,10,7,discount,True,True,True,False
False,F,58,55000.0,2013,7,30,0,0,3,informational,True,True,False,True
True,F,66,110000.0,2017,2,15,10,10,7,bogo,True,True,False,True
True,F,51,78000.0,2017,8,15,10,10,5,bogo,True,True,True,True
False,M,78,70000.0,2014,3,3,10,10,7,bogo,True,True,False,True
True,M,38,53000.0,2016,4,8,5,5,5,bogo,True,True,True,True
True,M,59,63000.0,2017,8,12,5,5,7,bogo,True,True,True,False
False,F,56,48000.0,2018,4,28,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2018,2,4,5,5,7,bogo,True,True,True,False
False,F,118,70598.23,2017,2,5,0,0,4,informational,True,True,True,False
False,M,54,59000.0,2018,4,20,0,0,3,informational,True,True,False,True
True,F,62,72000.0,2017,12,14,3,7,7,discount,True,True,True,True
False,F,47,53000.0,2017,8,10,10,10,7,bogo,True,True,False,True
False,F,43,58000.0,2016,4,1,0,0,3,informational,True,True,False,True
True,F,50,106000.0,2016,8,22,10,10,7,bogo,True,True,False,True
True,F,76,114000.0,2015,9,6,10,10,7,bogo,True,True,False,True
False,M,19,65000.0,2017,7,31,0,0,3,informational,True,True,False,True
True,M,31,41000.0,2017,11,14,5,20,10,discount,True,False,True,False
True,F,28,57000.0,2017,11,12,5,20,10,discount,True,False,True,False
False,F,90,66000.0,2017,10,29,0,0,3,informational,True,True,False,True
False,F,58,100000.0,2018,6,25,0,0,4,informational,True,True,True,False
False,M,51,114000.0,2017,8,9,2,10,7,discount,True,True,True,False
True,F,70,94000.0,2016,10,26,5,20,10,discount,True,False,True,False
True,F,27,65000.0,2015,12,22,5,5,7,bogo,True,True,True,False
True,M,76,54000.0,2016,12,15,2,10,10,discount,True,True,True,True
True,F,51,82000.0,2016,9,13,3,7,7,discount,True,True,True,True
True,M,27,33000.0,2014,1,26,5,5,7,bogo,True,True,True,False
True,M,63,59000.0,2018,7,10,3,7,7,discount,True,True,True,True
False,F,118,70598.23,2017,12,20,2,10,7,discount,True,True,True,False
True,M,49,70000.0,2016,8,26,2,10,7,discount,True,True,True,False
False,M,44,41000.0,2017,8,18,10,10,7,bogo,True,True,False,True
False,F,35,58000.0,2015,2,13,5,5,5,bogo,True,True,True,True
False,F,47,33000.0,2015,8,13,0,0,3,informational,True,True,False,True
True,F,70,96000.0,2015,7,14,5,20,10,discount,True,False,True,False
False,F,33,35000.0,2018,6,28,0,0,3,informational,True,True,False,True
True,F,85,34000.0,2018,1,27,3,7,7,discount,True,True,True,True
False,M,64,40000.0,2017,3,22,10,10,7,bogo,True,True,False,True
False,M,22,40000.0,2018,1,2,10,10,7,bogo,True,True,False,True
False,M,27,74000.0,2018,7,12,0,0,3,informational,True,True,False,True
False,M,58,93000.0,2015,12,18,0,0,4,informational,True,True,True,False
False,F,20,60000.0,2018,2,3,3,7,7,discount,True,True,True,True
True,M,59,63000.0,2018,6,16,10,10,7,bogo,True,True,False,True
True,M,34,42000.0,2015,8,2,5,5,5,bogo,True,True,True,True
False,F,51,84000.0,2017,3,10,0,0,4,informational,True,True,True,False
True,F,24,57000.0,2016,7,18,2,10,10,discount,True,True,True,True
True,F,63,78000.0,2017,12,12,2,10,7,discount,True,True,True,False
False,F,66,34000.0,2017,8,15,2,10,10,discount,True,True,True,True
False,F,81,36000.0,2015,10,9,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2017,12,4,5,20,10,discount,True,False,True,False
False,F,118,70598.23,2016,2,26,2,10,7,discount,True,True,True,False
False,M,44,58000.0,2018,6,20,3,7,7,discount,True,True,True,True
True,M,29,53000.0,2018,5,10,3,7,7,discount,True,True,True,True
False,F,58,77000.0,2017,12,11,10,10,5,bogo,True,True,True,True
False,M,71,38000.0,2014,8,9,0,0,3,informational,True,True,False,True
False,M,63,60000.0,2017,12,16,2,10,7,discount,True,True,True,False
True,F,45,50000.0,2015,8,26,10,10,5,bogo,True,True,True,True
False,M,55,66000.0,2017,12,27,5,20,10,discount,True,False,True,False
False,F,59,99000.0,2018,6,15,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2018,7,4,2,10,10,discount,True,True,True,True
True,M,83,75000.0,2015,9,8,10,10,5,bogo,True,True,True,True
False,F,55,96000.0,2017,10,17,0,0,3,informational,True,True,False,True
True,F,118,70598.23,2016,12,1,2,10,10,discount,True,True,True,True
False,M,91,59000.0,2017,4,25,10,10,5,bogo,True,True,True,True
False,M,49,34000.0,2017,12,25,0,0,3,informational,True,True,False,True
True,M,65,88000.0,2017,12,17,5,5,5,bogo,True,True,True,True
True,M,69,53000.0,2017,11,2,2,10,7,discount,True,True,True,False
True,M,52,67000.0,2016,1,31,5,5,7,bogo,True,True,True,False
True,F,60,55000.0,2017,9,26,5,5,5,bogo,True,True,True,True
True,M,75,84000.0,2016,3,15,5,5,5,bogo,True,True,True,True
False,F,118,70598.23,2018,7,12,0,0,3,informational,True,True,False,True
True,F,83,73000.0,2017,4,30,5,20,10,discount,True,False,True,False
True,F,44,72000.0,2017,12,10,5,20,10,discount,True,False,True,False
False,M,61,70000.0,2016,2,1,0,0,4,informational,True,True,True,False
True,F,69,72000.0,2016,11,5,5,5,5,bogo,True,True,True,True
True,M,51,89000.0,2018,2,21,2,10,7,discount,True,True,True,False
False,M,56,106000.0,2016,2,28,0,0,3,informational,True,True,False,True
False,O,64,76000.0,2017,11,13,5,20,10,discount,True,False,True,False
True,M,58,79000.0,2016,4,18,5,5,5,bogo,True,True,True,True
True,F,50,81000.0,2016,10,25,5,5,5,bogo,True,True,True,True
False,F,46,51000.0,2017,10,29,0,0,3,informational,True,True,False,True
True,F,26,41000.0,2016,5,17,5,5,7,bogo,True,True,True,False
False,M,67,31000.0,2017,7,31,0,0,4,informational,True,True,True,False
False,F,50,115000.0,2018,1,8,0,0,3,informational,True,True,False,True
False,M,59,60000.0,2015,12,13,0,0,3,informational,True,True,False,True
True,M,64,95000.0,2016,7,1,5,5,5,bogo,True,True,True,True
False,M,45,99000.0,2017,8,13,5,5,5,bogo,True,True,True,True
False,F,118,70598.23,2018,3,17,3,7,7,discount,True,True,True,True
True,F,64,71000.0,2017,9,9,3,7,7,discount,True,True,True,True
False,M,22,71000.0,2018,7,3,10,10,7,bogo,True,True,False,True
False,F,24,60000.0,2017,12,17,0,0,3,informational,True,True,False,True
True,F,65,81000.0,2018,1,10,2,10,10,discount,True,True,True,True
True,M,22,33000.0,2017,12,28,2,10,10,discount,True,True,True,True
False,F,62,88000.0,2018,6,25,5,5,7,bogo,True,True,True,False
False,F,63,67000.0,2018,1,9,2,10,7,discount,True,True,True,False
True,F,64,87000.0,2016,3,28,2,10,10,discount,True,True,True,True
True,F,56,92000.0,2015,9,14,10,10,5,bogo,True,True,True,True
False,M,59,36000.0,2017,2,16,5,5,7,bogo,True,True,True,False
False,F,49,70000.0,2017,11,6,0,0,3,informational,True,True,False,True
False,F,118,70598.23,2018,1,27,2,10,7,discount,True,True,True,False
True,M,67,45000.0,2016,1,27,10,10,5,bogo,True,True,True,True
True,F,39,71000.0,2017,12,7,2,10,10,discount,True,True,True,True
False,F,66,56000.0,2018,7,8,2,10,10,discount,True,True,True,True
False,M,50,39000.0,2017,7,18,0,0,4,informational,True,True,True,False
False,F,118,70598.23,2017,8,23,0,0,3,informational,True,True,False,True
True,F,56,80000.0,2017,9,14,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2014,2,5,10,10,7,bogo,True,True,False,True
False,M,45,73000.0,2016,3,21,10,10,5,bogo,True,True,True,True
True,M,57,80000.0,2016,2,12,3,7,7,discount,True,True,True,True
False,F,41,57000.0,2018,6,23,0,0,3,informational,True,True,False,True
False,M,48,48000.0,2018,5,21,0,0,3,informational,True,True,False,True
False,M,18,55000.0,2018,4,11,5,5,5,bogo,True,True,True,True
True,M,21,31000.0,2016,5,27,2,10,10,discount,True,True,True,True
False,M,72,71000.0,2016,6,12,0,0,3,informational,True,True,False,True
False,M,42,44000.0,2018,5,27,3,7,7,discount,True,True,True,True
False,F,118,70598.23,2018,6,24,10,10,5,bogo,True,True,True,True
True,M,45,86000.0,2016,11,18,5,20,10,discount,True,False,True,False
True,M,57,93000.0,2015,11,24,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2014,12,4,0,0,3,informational,True,True,False,True
False,F,85,40000.0,2014,11,8,10,10,5,bogo,True,True,True,True
True,M,63,52000.0,2017,11,11,3,7,7,discount,True,True,True,True
False,M,56,61000.0,2014,3,10,0,0,4,informational,True,True,True,False
True,M,29,40000.0,2017,11,5,3,7,7,discount,True,True,True,True
True,M,49,65000.0,2018,1,2,5,5,5,bogo,True,True,True,True
True,M,46,76000.0,2016,3,16,10,10,5,bogo,True,True,True,True
True,F,71,37000.0,2016,11,11,5,5,7,bogo,True,True,True,False
True,F,56,60000.0,2017,12,8,10,10,5,bogo,True,True,True,True
True,M,66,105000.0,2017,3,7,5,20,10,discount,True,False,True,False
True,F,49,80000.0,2017,9,9,5,5,5,bogo,True,True,True,True
True,F,60,77000.0,2017,12,6,3,7,7,discount,True,True,True,True
True,F,88,81000.0,2016,8,11,2,10,10,discount,True,True,True,True
False,F,59,70000.0,2018,1,22,0,0,4,informational,True,True,True,False
True,F,77,78000.0,2016,7,10,3,7,7,discount,True,True,True,True
False,M,62,63000.0,2018,3,3,10,10,5,bogo,True,True,True,True
True,F,76,53000.0,2017,8,11,2,10,7,discount,True,True,True,False
False,F,118,70598.23,2018,3,29,5,5,7,bogo,True,True,True,False
False,M,59,65000.0,2017,12,8,5,5,7,bogo,True,True,True,False
False,F,118,70598.23,2014,12,4,2,10,7,discount,True,True,True,False
False,M,60,60000.0,2018,7,8,3,7,7,discount,True,True,True,True
False,M,37,72000.0,2017,3,7,10,10,7,bogo,True,True,False,True
False,M,36,38000.0,2017,12,14,2,10,10,discount,True,True,True,True
False,M,79,53000.0,2016,9,17,0,0,3,informational,True,True,False,True
False,M,50,111000.0,2017,8,11,0,0,3,informational,True,True,False,True
True,F,75,81000.0,2017,9,26,5,5,7,bogo,True,True,True,False
True,M,48,39000.0,2013,12,1,5,20,10,discount,True,False,True,False
False,M,25,66000.0,2015,11,16,0,0,3,informational,True,True,False,True
False,M,29,50000.0,2018,6,12,5,5,7,bogo,True,True,True,False
False,F,87,92000.0,2016,3,31,0,0,4,informational,True,True,True,False
False,F,118,70598.23,2017,12,19,5,20,10,discount,True,False,True,False
True,M,49,57000.0,2018,1,23,5,20,10,discount,True,False,True,False
False,F,118,70598.23,2018,1,1,2,10,10,discount,True,True,True,True
False,M,69,70000.0,2014,10,23,0,0,3,informational,True,True,False,True
False,F,49,43000.0,2018,6,18,0,0,3,informational,True,True,False,True
False,F,69,70000.0,2018,5,14,0,0,4,informational,True,True,True,False
False,F,46,36000.0,2018,6,29,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2017,9,1,0,0,4,informational,True,True,True,False
True,M,26,65000.0,2017,12,2,10,10,5,bogo,True,True,True,True
False,M,75,71000.0,2017,10,8,0,0,3,informational,True,True,False,True
False,F,118,70598.23,2017,7,17,0,0,3,informational,True,True,False,True
True,F,118,70598.23,2016,8,24,3,7,7,discount,True,True,True,True
False,M,44,89000.0,2018,1,16,0,0,3,informational,True,True,False,True
True,F,60,88000.0,2017,12,11,5,5,7,bogo,True,True,True,False
True,F,20,66000.0,2017,12,27,2,10,10,discount,True,True,True,True
False,M,71,99000.0,2018,7,8,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2017,12,25,2,10,7,discount,True,True,True,False
False,M,31,33000.0,2017,11,3,0,0,3,informational,True,True,False,True
False,M,33,31000.0,2017,8,21,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2018,7,5,0,0,3,informational,True,True,False,True
False,M,54,37000.0,2014,6,26,10,10,5,bogo,True,True,True,True
True,F,38,56000.0,2015,11,19,5,5,7,bogo,True,True,True,False
False,M,38,37000.0,2018,3,21,5,5,7,bogo,True,True,True,False
False,M,87,43000.0,2015,5,13,5,5,5,bogo,True,True,True,True
True,F,37,58000.0,2016,4,3,10,10,5,bogo,True,True,True,True
False,M,50,86000.0,2017,8,30,0,0,4,informational,True,True,True,False
True,F,118,70598.23,2015,12,10,3,7,7,discount,True,True,True,True
True,F,43,69000.0,2017,1,25,2,10,10,discount,True,True,True,True
True,M,73,84000.0,2017,7,11,10,10,7,bogo,True,True,False,True
True,M,67,52000.0,2015,5,10,5,5,7,bogo,True,True,True,False
False,M,23,44000.0,2017,10,26,10,10,5,bogo,True,True,True,True
True,O,67,73000.0,2017,2,10,5,5,5,bogo,True,True,True,True
False,M,22,64000.0,2018,6,16,10,10,5,bogo,True,True,True,True
True,F,62,120000.0,2017,8,2,5,20,10,discount,True,False,True,False
False,M,22,62000.0,2015,7,14,0,0,3,informational,True,True,False,True
True,M,66,38000.0,2017,10,3,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2017,8,22,10,10,7,bogo,True,True,False,True
True,M,63,96000.0,2018,1,24,10,10,5,bogo,True,True,True,True
True,F,41,39000.0,2015,10,6,5,5,5,bogo,True,True,True,True
True,M,73,46000.0,2013,10,5,10,10,5,bogo,True,True,True,True
False,M,52,67000.0,2018,4,17,10,10,7,bogo,True,True,False,True
False,F,118,70598.23,2017,10,19,10,10,7,bogo,True,True,False,True
False,M,47,90000.0,2018,5,7,2,10,10,discount,True,True,True,True
True,F,32,49000.0,2015,10,7,2,10,10,discount,True,True,True,True
False,M,26,46000.0,2016,11,20,2,10,7,discount,True,True,True,False
True,M,46,53000.0,2016,5,22,5,5,7,bogo,True,True,True,False
False,M,33,56000.0,2015,8,22,0,0,3,informational,True,True,False,True
True,M,33,30000.0,2016,1,28,2,10,10,discount,True,True,True,True
True,F,39,38000.0,2016,11,24,3,7,7,discount,True,True,True,True
True,M,67,55000.0,2015,11,8,2,10,10,discount,True,True,True,True
True,F,57,85000.0,2015,11,10,2,10,10,discount,True,True,True,True
True,F,118,70598.23,2015,10,12,5,5,7,bogo,True,True,True,False
False,M,54,78000.0,2018,5,6,0,0,4,informational,True,True,True,False
True,M,74,114000.0,2016,10,20,10,10,7,bogo,True,True,False,True
False,F,118,70598.23,2016,12,12,10,10,7,bogo,True,True,False,True
True,F,52,60000.0,2015,12,26,2,10,7,discount,True,True,True,False
False,M,60,32000.0,2016,9,28,10,10,7,bogo,True,True,False,True
True,F,24,59000.0,2015,7,2,3,7,7,discount,True,True,True,True
True,F,51,56000.0,2016,5,17,3,7,7,discount,True,True,True,True
True,M,50,76000.0,2017,10,6,5,5,7,bogo,True,True,True,False
False,F,118,70598.23,2017,4,8,5,5,5,bogo,True,True,True,True
True,M,60,31000.0,2017,12,12,10,10,5,bogo,True,True,True,True
True,M,55,72000.0,2016,1,30,10,10,7,bogo,True,True,False,True
False,F,51,92000.0,2018,6,29,5,5,5,bogo,True,True,True,True
False,M,60,63000.0,2017,7,27,5,5,5,bogo,True,True,True,True
True,F,90,43000.0,2015,8,31,5,20,10,discount,True,False,True,False
False,M,36,53000.0,2018,3,11,10,10,7,bogo,True,True,False,True
False,F,80,109000.0,2017,11,24,0,0,4,informational,True,True,True,False
True,M,48,67000.0,2016,4,26,3,7,7,discount,True,True,True,True
False,M,78,46000.0,2018,4,30,10,10,7,bogo,True,True,False,True
False,F,75,100000.0,2017,5,9,0,0,3,informational,True,True,False,True
True,M,55,37000.0,2016,8,28,3,7,7,discount,True,True,True,True
True,F,70,58000.0,2015,9,14,10,10,7,bogo,True,True,False,True
True,M,26,53000.0,2017,11,4,10,10,7,bogo,True,True,False,True
False,F,60,118000.0,2016,9,13,0,0,3,informational,True,True,False,True
False,M,50,42000.0,2017,11,26,2,10,7,discount,True,True,True,False
False,F,118,70598.23,2016,10,31,10,10,7,bogo,True,True,False,True
True,M,80,112000.0,2018,6,2,3,7,7,discount,True,True,True,True
True,M,49,73000.0,2018,1,6,5,5,7,bogo,True,True,True,False
True,F,79,106000.0,2017,9,30,5,5,5,bogo,True,True,True,True
False,F,51,65000.0,2016,12,4,0,0,3,informational,True,True,False,True
True,M,49,74000.0,2018,4,1,10,10,7,bogo,True,True,False,True
False,M,63,54000.0,2014,12,23,5,5,5,bogo,True,True,True,True
True,F,61,78000.0,2018,5,27,10,10,7,bogo,True,True,False,True
False,F,38,38000.0,2015,10,21,10,10,5,bogo,True,True,True,True
True,M,74,33000.0,2017,8,17,2,10,10,discount,True,True,True,True
False,M,45,67000.0,2018,5,4,0,0,4,informational,True,True,True,False
True,M,24,59000.0,2017,1,10,10,10,7,bogo,True,True,False,True
True,M,82,65000.0,2018,4,11,5,5,5,bogo,True,True,True,True
True,M,45,90000.0,2017,12,23,5,20,10,discount,True,False,True,False
False,F,52,58000.0,2014,8,28,10,10,7,bogo,True,True,False,True
True,F,53,55000.0,2018,1,25,5,20,10,discount,True,False,True,False
True,F,64,63000.0,2017,10,23,5,5,5,bogo,True,True,True,True
True,M,69,70000.0,2018,3,9,2,10,7,discount,True,True,True,False
True,F,60,61000.0,2016,10,1,2,10,7,discount,True,True,True,False
True,M,64,46000.0,2015,11,8,2,10,10,discount,True,True,True,True
True,F,73,87000.0,2015,9,29,5,5,7,bogo,True,True,True,False
False,M,21,37000.0,2017,12,24,2,10,10,discount,True,True,True,True
True,M,41,71000.0,2016,2,16,10,10,5,bogo,True,True,True,True
True,F,59,91000.0,2017,11,23,3,7,7,discount,True,True,True,True
True,F,118,70598.23,2017,5,21,3,7,7,discount,True,True,True,True
True,M,85,60000.0,2016,6,25,3,7,7,discount,True,True,True,True
True,M,36,66000.0,2017,12,24,2,10,10,discount,True,True,True,True
False,F,118,70598.23,2016,3,22,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2017,9,16,10,10,7,bogo,True,True,False,True
False,M,67,51000.0,2018,3,1,5,5,7,bogo,True,True,True,False
True,F,51,101000.0,2017,11,5,10,10,5,bogo,True,True,True,True
True,M,66,101000.0,2016,9,17,5,20,10,discount,True,False,True,False
False,M,56,58000.0,2018,2,19,3,7,7,discount,True,True,True,True
False,F,118,70598.23,2015,12,9,5,5,7,bogo,True,True,True,False
True,F,63,71000.0,2015,12,9,10,10,7,bogo,True,True,False,True
False,F,57,43000.0,2017,12,24,0,0,4,informational,True,True,True,False
False,F,118,70598.23,2017,8,24,2,10,7,discount,True,True,True,False
False,M,66,77000.0,2016,6,27,0,0,4,informational,True,True,True,False
True,F,46,51000.0,2018,1,14,3,7,7,discount,True,True,True,True
True,F,63,84000.0,2017,3,22,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2015,8,16,10,10,5,bogo,True,True,True,True
False,M,40,87000.0,2017,7,27,5,5,5,bogo,True,True,True,True
True,M,65,76000.0,2015,9,29,2,10,10,discount,True,True,True,True
False,F,64,90000.0,2016,4,21,0,0,4,informational,True,True,True,False
True,F,79,57000.0,2016,2,29,3,7,7,discount,True,True,True,True
True,F,83,58000.0,2017,3,25,2,10,10,discount,True,True,True,True
True,M,55,32000.0,2017,9,30,5,5,5,bogo,True,True,True,True
False,M,47,66000.0,2013,12,30,0,0,4,informational,True,True,True,False
False,F,118,70598.23,2017,10,16,5,20,10,discount,True,False,True,False
