,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social,is_offer_completed
31,M,60,54000.0,2017,10,24,10,10,5,bogo,True,True,True,True,True
32,F,79,113000.0,2016,7,6,5,5,7,bogo,True,True,True,False,True
33,O,55,79000.0,2018,3,15,5,5,5,bogo,True,True,True,True,True
34,F,38,39000.0,2018,7,16,2,10,10,discount,True,True,True,True,True
35,F,59,51000.0,2017,8,21,0,0,4,informational,True,True,True,False,False
36,F,45,40000.0,2016,2,7,5,5,7,bogo,True,True,True,False,False
37,M,59,85000.0,2018,1,11,3,7,7,discount,True,True,True,True,False
38,F,72,93000.0,2018,6,16,0,0,3,informational,True,True,False,True,False
39,F,53,85000.0,2017,3,30,0,0,3,informational,True,True,False,True,False
40,M,56,76000.0,2018,1,15,2,10,7,discount,True,True,True,False,False
41,F,54,86000.0,2017,5,7,0,0,3,informational,True,True,False,True,False
42,F,28,58000.0,2017,12,12,5,5,5,bogo,True,True,True,True,True
43,M,22,35000.0,2017,9,14,10,10,5,bogo,True,True,True,True,False
44,M,36,61000.0,2016,11,24,5,5,7,bogo,True,True,True,False,True
45,F,118,70598.23,2016,2,29,2,10,10,discount,True,True,True,True,True
46,M,58,79000.0,2016,3,16,5,20,10,discount,True,False,True,False,True
47,F,118,70598.23,2016,10,24,2,10,10,discount,True,True,True,True,True
48,F,71,71000.0,2017,1,24,10,10,7,bogo,True,True,False,True,True
49,F,34,58000.0,2017,11,2,10,10,5,bogo,True,True,True,True,True
50,M,63,40000.0,2014,9,25,0,0,3,informational,True,True,False,True,False
51,F,118,70598.23,2018,2,1,5,20,10,discount,True,False,True,False,False
52,M,79,73000.0,2017,7,22,10,10,5,bogo,True,True,True,True,True
53,M,25,40000.0,2017,12,25,5,5,5,bogo,True,True,True,True,False
54,M,63,47000.0,2014,6,9,2,10,10,discount,True,True,True,True,True
55,M,40,49000.0,2015,12,27,3,7,7,discount,True,True,True,True,True
56,M,41,81000.0,2017,8,22,3,7,7,discount,True,True,True,True,True
57,F,76,47000.0,2018,3,14,10,10,5,bogo,True,True,True,True,False
58,F,67,93000.0,2013,8,27,2,10,7,discount,True,True,True,False,True
59,F,47,65000.0,2017,12,21,2,10,10,discount,True,True,True,True,False
60,F,66,42000.0,2013,9,19,5,5,7,bogo,True,True,True,False,False
61,M,56,58000.0,2018,3,18,10,10,5,bogo,True,True,True,True,False
62,F,19,67000.0,2018,1,7,10,10,7,bogo,True,True,False,True,True
63,F,51,113000.0,2017,4,21,0,0,3,informational,True,True,False,True,False
64,M,82,37000.0,2018,6,30,2,10,10,discount,True,True,True,True,False
65,F,118,70598.23,2017,5,29,5,5,5,bogo,True,True,True,True,True
66,F,55,71000.0,2017,6,27,5,5,5,bogo,True,True,True,True,False
67,F,84,77000.0,2018,1,25,2,10,10,discount,True,True,True,True,True
68,M,85,47000.0,2016,1,1,10,10,7,bogo,True,True,False,True,True
69,M,75,84000.0,2016,3,15,2,10,7,discount,True,True,True,False,True
70,M,38,37000.0,2018,3,21,0,0,3,informational,True,True,False,True,False
71,M,46,56000.0,2017,8,25,3,7,7,discount,True,True,True,True,False
72,F,61,96000.0,2017,9,16,5,5,5,bogo,True,True,True,True,True
73,M,68,46000.0,2017,10,9,5,20,10,discount,True,False,True,False,True
74,F,32,43000.0,2017,5,31,0,0,3,informational,True,True,False,True,False
75,M,71,51000.0,2018,1,21,5,5,7,bogo,True,True,True,False,True
76,M,39,71000.0,2017,4,27,5,20,10,discount,True,False,True,False,True
77,F,28,45000.0,2017,9,10,3,7,7,discount,True,True,True,True,True
78,M,47,68000.0,2017,11,4,0,0,3,informational,True,True,False,True,False
79,M,49,68000.0,2018,3,9,5,5,7,bogo,True,True,True,False,False
80,M,26,67000.0,2017,10,17,2,10,7,discount,True,True,True,False,True
81,F,51,88000.0,2017,4,12,2,10,7,discount,True,True,True,False,True
82,F,35,33000.0,2017,7,20,0,0,3,informational,True,True,False,True,False
83,F,118,70598.23,2017,5,6,3,7,7,discount,True,True,True,True,False
84,M,49,38000.0,2018,7,5,0,0,3,informational,True,True,False,True,False
85,M,68,69000.0,2016,6,29,5,20,10,discount,True,False,True,False,True
86,M,39,71000.0,2017,7,24,5,5,5,bogo,True,True,True,True,True
87,M,59,88000.0,2017,8,11,5,5,5,bogo,True,True,True,True,False
88,F,49,75000.0,2018,5,1,5,20,10,discount,True,False,True,False,False
89,M,72,32000.0,2017,2,17,3,7,7,discount,True,True,True,True,True
90,F,50,81000.0,2016,10,25,2,10,10,discount,True,True,True,True,True
91,M,73,51000.0,2014,4,26,0,0,3,informational,True,True,False,True,False
92,M,56,32000.0,2018,3,22,5,5,7,bogo,True,True,True,False,False
93,F,118,70598.23,2018,1,8,5,5,7,bogo,True,True,True,False,False
94,M,40,66000.0,2016,6,7,0,0,4,informational,True,True,True,False,False
95,F,92,65000.0,2016,3,12,2,10,10,discount,True,True,True,True,True
96,F,68,84000.0,2017,10,15,10,10,5,bogo,True,True,True,True,False
97,F,118,70598.23,2015,10,6,3,7,7,discount,True,True,True,True,False
98,M,56,50000.0,2017,7,27,0,0,3,informational,True,True,False,True,False
99,F,32,35000.0,2016,10,29,0,0,4,informational,True,True,True,False,False
100,M,54,40000.0,2014,4,19,10,10,5,bogo,True,True,True,True,False
101,F,54,99000.0,2018,6,30,3,7,7,discount,True,True,True,True,True
102,M,27,65000.0,2017,8,4,0,0,4,informational,True,True,True,False,False
103,F,118,70598.23,2016,7,18,10,10,5,bogo,True,True,True,True,False
104,F,64,60000.0,2016,5,19,2,10,10,discount,True,True,True,True,True
105,M,75,109000.0,2017,12,3,2,10,10,discount,True,True,True,True,False
106,F,61,78000.0,2016,3,1,2,10,10,discount,True,True,True,True,True
107,M,41,38000.0,2017,9,16,10,10,5,bogo,True,True,True,True,False
108,F,118,70598.23,2018,5,5,2,10,10,discount,True,True,True,True,False
109,M,61,48000.0,2018,2,26,10,10,7,bogo,True,True,False,True,False
110,F,118,70598.23,2018,6,16,0,0,4,informational,True,True,True,False,False
111,M,57,77000.0,2017,9,8,0,0,4,informational,True,True,True,False,False
112,F,50,75000.0,2017,12,27,3,7,7,discount,True,True,True,True,True
113,M,26,61000.0,2018,2,22,2,10,10,discount,True,True,True,True,True
114,M,23,69000.0,2017,8,22,10,10,7,bogo,True,True,False,True,False
115,F,40,33000.0,2014,5,24,10,10,5,bogo,True,True,True,True,False
116,M,47,41000.0,2016,8,4,10,10,7,bogo,True,True,False,True,False
117,F,72,60000.0,2017,9,7,2,10,7,discount,True,True,True,False,True
118,F,118,70598.23,2017,12,6,10,10,5,bogo,True,True,True,True,False
119,F,33,41000.0,2017,9,20,2,10,7,discount,True,True,True,False,True
120,F,58,55000.0,2013,7,30,0,0,3,informational,True,True,False,True,False
121,F,66,110000.0,2017,2,15,10,10,7,bogo,True,True,False,True,True
122,F,51,78000.0,2017,8,15,10,10,5,bogo,True,True,True,True,True
123,M,78,70000.0,2014,3,3,10,10,7,bogo,True,True,False,True,False
124,M,38,53000.0,2016,4,8,5,5,5,bogo,True,True,True,True,True
125,M,59,63000.0,2017,8,12,5,5,7,bogo,True,True,True,False,True
126,F,56,48000.0,2018,4,28,2,10,10,discount,True,True,True,True,False
127,F,118,70598.23,2018,2,4,5,5,7,bogo,True,True,True,False,False
128,F,118,70598.23,2017,2,5,0,0,4,informational,True,True,True,False,False
129,M,54,59000.0,2018,4,20,0,0,3,informational,True,True,False,True,False
130,F,62,72000.0,2017,12,14,3,7,7,discount,True,True,True,True,True
131,F,47,53000.0,2017,8,10,10,10,7,bogo,True,True,False,True,False
132,F,43,58000.0,2016,4,1,0,0,3,informational,True,True,False,True,False
133,F,50,106000.0,2016,8,22,10,10,7,bogo,True,True,False,True,True
134,F,76,114000.0,2015,9,6,10,10,7,bogo,True,True,False,True,True
135,M,19,65000.0,2017,7,31,0,0,3,informational,True,True,False,True,False
136,M,31,41000.0,2017,11,14,5,20,10,discount,True,False,True,False,True
137,F,28,57000.0,2017,11,12,5,20,10,discount,True,False,True,False,True
138,F,90,66000.0,2017,10,29,0,0,3,informational,True,True,False,True,False
139,F,58,100000.0,2018,6,25,0,0,4,informational,True,True,True,False,False
140,M,51,114000.0,2017,8,9,2,10,7,discount,True,True,True,False,False
141,F,70,94000.0,2016,10,26,5,20,10,discount,True,False,True,False,True
142,F,27,65000.0,2015,12,22,5,5,7,bogo,True,True,True,False,True
143,M,76,54000.0,2016,12,15,2,10,10,discount,True,True,True,True,True
144,F,51,82000.0,2016,9,13,3,7,7,discount,True,True,True,True,True
145,M,27,33000.0,2014,1,26,5,5,7,bogo,True,True,True,False,True
146,M,63,59000.0,2018,7,10,3,7,7,discount,True,True,True,True,True
147,F,118,70598.23,2017,12,20,2,10,7,discount,True,True,True,False,False
148,M,49,70000.0,2016,8,26,2,10,7,discount,True,True,True,False,True
149,M,44,41000.0,2017,8,18,10,10,7,bogo,True,True,False,True,False
150,F,35,58000.0,2015,2,13,5,5,5,bogo,True,True,True,True,False
151,F,47,33000.0,2015,8,13,0,0,3,informational,True,True,False,True,False
152,F,70,96000.0,2015,7,14,5,20,10,discount,True,False,True,False,True
153,F,33,35000.0,2018,6,28,0,0,3,informational,True,True,False,True,False
154,F,85,34000.0,2018,1,27,3,7,7,discount,True,True,True,True,True
155,M,64,40000.0,2017,3,22,10,10,7,bogo,True,True,False,True,False
156,M,22,40000.0,2018,1,2,10,10,7,bogo,True,True,False,True,False
157,M,27,74000.0,2018,7,12,0,0,3,informational,True,True,False,True,False
158,M,58,93000.0,2015,12,18,0,0,4,informational,True,True,True,False,False
159,F,20,60000.0,2018,2,3,3,7,7,discount,True,True,True,True,False
160,M,59,63000.0,2018,6,16,10,10,7,bogo,True,True,False,True,True
161,M,34,42000.0,2015,8,2,5,5,5,bogo,True,True,True,True,True
162,F,51,84000.0,2017,3,10,0,0,4,informational,True,True,True,False,False
163,F,24,57000.0,2016,7,18,2,10,10,discount,True,True,True,True,True
164,F,63,78000.0,2017,12,12,2,10,7,discount,True,True,True,False,True
165,F,66,34000.0,2017,8,15,2,10,10,discount,True,True,True,True,False
166,F,81,36000.0,2015,10,9,10,10,5,bogo,True,True,True,True,False
167,F,118,70598.23,2017,12,4,5,20,10,discount,True,False,True,False,False
168,F,118,70598.23,2016,2,26,2,10,7,discount,True,True,True,False,False
169,M,44,58000.0,2018,6,20,3,7,7,discount,True,True,True,True,False
170,M,29,53000.0,2018,5,10,3,7,7,discount,True,True,True,True,True
171,F,58,77000.0,2017,12,11,10,10,5,bogo,True,True,True,True,False
172,M,71,38000.0,2014,8,9,0,0,3,informational,True,True,False,True,False
173,M,63,60000.0,2017,12,16,2,10,7,discount,True,True,True,False,False
174,F,45,50000.0,2015,8,26,10,10,5,bogo,True,True,True,True,True
175,M,55,66000.0,2017,12,27,5,20,10,discount,True,False,True,False,False
176,F,59,99000.0,2018,6,15,10,10,5,bogo,True,True,True,True,False
177,F,118,70598.23,2018,7,4,2,10,10,discount,True,True,True,True,False
178,M,83,75000.0,2015,9,8,10,10,5,bogo,True,True,True,True,True
179,F,55,96000.0,2017,10,17,0,0,3,informational,True,True,False,True,False
180,F,118,70598.23,2016,12,1,2,10,10,discount,True,True,True,True,True
181,M,91,59000.0,2017,4,25,10,10,5,bogo,True,True,True,True,False
182,M,49,34000.0,2017,12,25,0,0,3,informational,True,True,False,True,False
183,M,65,88000.0,2017,12,17,5,5,5,bogo,True,True,True,True,True
184,M,69,53000.0,2017,11,2,2,10,7,discount,True,True,True,False,True
185,M,52,67000.0,2016,1,31,5,5,7,bogo,True,True,True,False,True
186,F,60,55000.0,2017,9,26,5,5,5,bogo,True,True,True,True,True
187,M,75,84000.0,2016,3,15,5,5,5,bogo,True,True,True,True,True
188,F,118,70598.23,2018,7,12,0,0,3,informational,True,True,False,True,False
189,F,83,73000.0,2017,4,30,5,20,10,discount,True,False,True,False,True
190,F,44,72000.0,2017,12,10,5,20,10,discount,True,False,True,False,True
191,M,61,70000.0,2016,2,1,0,0,4,informational,True,True,True,False,False
192,F,69,72000.0,2016,11,5,5,5,5,bogo,True,True,True,True,True
193,M,51,89000.0,2018,2,21,2,10,7,discount,True,True,True,False,True
194,M,56,106000.0,2016,2,28,0,0,3,informational,True,True,False,True,False
195,O,64,76000.0,2017,11,13,5,20,10,discount,True,False,True,False,False
196,M,58,79000.0,2016,4,18,5,5,5,bogo,True,True,True,True,True
197,F,50,81000.0,2016,10,25,5,5,5,bogo,True,True,True,True,True
198,F,46,51000.0,2017,10,29,0,0,3,informational,True,True,False,True,False
199,F,26,41000.0,2016,5,17,5,5,7,bogo,True,True,True,False,True
200,M,67,31000.0,2017,7,31,0,0,4,informational,True,True,True,False,False
201,F,50,115000.0,2018,1,8,0,0,3,informational,True,True,False,True,False
202,M,59,60000.0,2015,12,13,0,0,3,informational,True,True,False,True,False
203,M,64,95000.0,2016,7,1,5,5,5,bogo,True,True,True,True,True
204,M,45,99000.0,2017,8,13,5,5,5,bogo,True,True,True,True,False
205,F,118,70598.23,2018,3,17,3,7,7,discount,True,True,True,True,False
206,F,64,71000.0,2017,9,9,3,7,7,discount,True,True,True,True,True
207,M,22,71000.0,2018,7,3,10,10,7,bogo,True,True,False,True,False
208,F,24,60000.0,2017,12,17,0,0,3,informational,True,True,False,True,False
209,F,65,81000.0,2018,1,10,2,10,10,discount,True,True,True,True,True
210,M,22,33000.0,2017,12,28,2,10,10,discount,True,True,True,True,True
211,F,62,88000.0,2018,6,25,5,5,7,bogo,True,True,True,False,False
212,F,63,67000.0,2018,1,9,2,10,7,discount,True,True,True,False,False
213,F,64,87000.0,2016,3,28,2,10,10,discount,True,True,True,True,True
214,F,56,92000.0,2015,9,14,10,10,5,bogo,True,True,True,True,True
215,M,59,36000.0,2017,2,16,5,5,7,bogo,True,True,True,False,False
216,F,49,70000.0,2017,11,6,0,0,3,informational,True,True,False,True,False
217,F,118,70598.23,2018,1,27,2,10,7,discount,True,True,True,False,False
218,M,67,45000.0,2016,1,27,10,10,5,bogo,True,True,True,True,True
219,F,39,71000.0,2017,12,7,2,10,10,discount,True,True,True,True,True
220,F,66,56000.0,2018,7,8,2,10,10,discount,True,True,True,True,False
221,M,50,39000.0,2017,7,18,0,0,4,informational,True,True,True,False,False
222,F,118,70598.23,2017,8,23,0,0,3,informational,True,True,False,True,False
223,F,56,80000.0,2017,9,14,2,10,10,discount,True,True,True,True,True
224,F,118,70598.23,2014,2,5,10,10,7,bogo,True,True,False,True,False
225,M,45,73000.0,2016,3,21,10,10,5,bogo,True,True,True,True,False
226,M,57,80000.0,2016,2,12,3,7,7,discount,True,True,True,True,True
227,F,41,57000.0,2018,6,23,0,0,3,informational,True,True,False,True,False
228,M,48,48000.0,2018,5,21,0,0,3,informational,True,True,False,True,False
229,M,18,55000.0,2018,4,11,5,5,5,bogo,True,True,True,True,False
230,M,21,31000.0,2016,5,27,2,10,10,discount,True,True,True,True,True
231,M,72,71000.0,2016,6,12,0,0,3,informational,True,True,False,True,False
232,M,42,44000.0,2018,5,27,3,7,7,discount,True,True,True,True,False
233,F,118,70598.23,2018,6,24,10,10,5,bogo,True,True,True,True,False
234,M,45,86000.0,2016,11,18,5,20,10,discount,True,False,True,False,True
235,M,57,93000.0,2015,11,24,2,10,10,discount,True,True,True,True,True
236,F,118,70598.23,2014,12,4,0,0,3,informational,True,True,False,True,False
237,F,85,40000.0,2014,11,8,10,10,5,bogo,True,True,True,True,False
238,M,63,52000.0,2017,11,11,3,7,7,discount,True,True,True,True,True
239,M,56,61000.0,2014,3,10,0,0,4,informational,True,True,True,False,False
240,M,29,40000.0,2017,11,5,3,7,7,discount,True,True,True,True,True
241,M,49,65000.0,2018,1,2,5,5,5,bogo,True,True,True,True,True
242,M,46,76000.0,2016,3,16,10,10,5,bogo,True,True,True,True,True
243,F,71,37000.0,2016,11,11,5,5,7,bogo,True,True,True,False,True
244,F,56,60000.0,2017,12,8,10,10,5,bogo,True,True,True,True,True
245,M,66,105000.0,2017,3,7,5,20,10,discount,True,False,True,False,True
246,F,49,80000.0,2017,9,9,5,5,5,bogo,True,True,True,True,True
247,F,60,77000.0,2017,12,6,3,7,7,discount,True,True,True,True,True
248,F,88,81000.0,2016,8,11,2,10,10,discount,True,True,True,True,True
249,F,59,70000.0,2018,1,22,0,0,4,informational,True,True,True,False,False
250,F,77,78000.0,2016,7,10,3,7,7,discount,True,True,True,True,True
251,M,62,63000.0,2018,3,3,10,10,5,bogo,True,True,True,True,False
252,F,76,53000.0,2017,8,11,2,10,7,discount,True,True,True,False,True
253,F,118,70598.23,2018,3,29,5,5,7,bogo,True,True,True,False,False
254,M,59,65000.0,2017,12,8,5,5,7,bogo,True,True,True,False,False
255,F,118,70598.23,2014,12,4,2,10,7,discount,True,True,True,False,False
256,M,60,60000.0,2018,7,8,3,7,7,discount,True,True,True,True,False
257,M,37,72000.0,2017,3,7,10,10,7,bogo,True,True,False,True,False
258,M,36,38000.0,2017,12,14,2,10,10,discount,True,True,True,True,False
259,M,79,53000.0,2016,9,17,0,0,3,informational,True,True,False,True,False
260,M,50,111000.0,2017,8,11,0,0,3,informational,True,True,False,True,False
261,F,75,81000.0,2017,9,26,5,5,7,bogo,True,True,True,False,True
262,M,48,39000.0,2013,12,1,5,20,10,discount,True,False,True,False,True
263,M,25,66000.0,2015,11,16,0,0,3,informational,True,True,False,True,False
264,M,29,50000.0,2018,6,12,5,5,7,bogo,True,True,True,False,False
265,F,87,92000.0,2016,3,31,0,0,4,informational,True,True,True,False,False
266,F,118,70598.23,2017,12,19,5,20,10,discount,True,False,True,False,False
267,M,49,57000.0,2018,1,23,5,20,10,discount,True,False,True,False,True
268,F,118,70598.23,2018,1,1,2,10,10,discount,True,True,True,True,False
269,M,69,70000.0,2014,10,23,0,0,3,informational,True,True,False,True,False
270,F,49,43000.0,2018,6,18,0,0,3,informational,True,True,False,True,False
271,F,69,70000.0,2018,5,14,0,0,4,informational,True,True,True,False,False
272,F,46,36000.0,2018,6,29,2,10,10,discount,True,True,True,True,False
273,F,118,70598.23,2017,9,1,0,0,4,informational,True,True,True,False,False
274,M,26,65000.0,2017,12,2,10,10,5,bogo,True,True,True,True,True
275,M,75,71000.0,2017,10,8,0,0,3,informational,True,True,False,True,False
276,F,118,70598.23,2017,7,17,0,0,3,informational,True,True,False,True,False
277,F,118,70598.23,2016,8,24,3,7,7,discount,True,True,True,True,True
278,M,44,89000.0,2018,1,16,0,0,3,informational,True,True,False,True,False
279,F,60,88000.0,2017,12,11,5,5,7,bogo,True,True,True,False,True
280,F,20,66000.0,2017,12,27,2,10,10,discount,True,True,True,True,True
281,M,71,99000.0,2018,7,8,10,10,5,bogo,True,True,True,True,False
282,F,118,70598.23,2017,12,25,2,10,7,discount,True,True,True,False,False
283,M,31,33000.0,2017,11,3,0,0,3,informational,True,True,False,True,False
284,M,33,31000.0,2017,8,21,2,10,10,discount,True,True,True,True,False
285,F,118,70598.23,2018,7,5,0,0,3,informational,True,True,False,True,False
286,M,54,37000.0,2014,6,26,10,10,5,bogo,True,True,True,True,False
287,F,38,56000.0,2015,11,19,5,5,7,bogo,True,True,True,False,True
288,M,38,37000.0,2018,3,21,5,5,7,bogo,True,True,True,False,False
289,M,87,43000.0,2015,5,13,5,5,5,bogo,True,True,True,True,False
290,F,37,58000.0,2016,4,3,10,10,5,bogo,True,True,True,True,True
291,M,50,86000.0,2017,8,30,0,0,4,informational,True,True,True,False,False
292,F,118,70598.23,2015,12,10,3,7,7,discount,True,True,True,True,True
293,F,43,69000.0,2017,1,25,2,10,10,discount,True,True,True,True,True
294,M,73,84000.0,2017,7,11,10,10,7,bogo,True,True,False,True,True
295,M,67,52000.0,2015,5,10,5,5,7,bogo,True,True,True,False,True
296,M,23,44000.0,2017,10,26,10,10,5,bogo,True,True,True,True,False
297,O,67,73000.0,2017,2,10,5,5,5,bogo,True,True,True,True,True
298,M,22,64000.0,2018,6,16,10,10,5,bogo,True,True,True,True,False
299,F,62,120000.0,2017,8,2,5,20,10,discount,True,False,True,False,True
300,M,22,62000.0,2015,7,14,0,0,3,informational,True,True,False,True,False
301,M,66,38000.0,2017,10,3,10,10,5,bogo,True,True,True,True,True
302,F,118,70598.23,2017,8,22,10,10,7,bogo,True,True,False,True,False
303,M,63,96000.0,2018,1,24,10,10,5,bogo,True,True,True,True,True
304,F,41,39000.0,2015,10,6,5,5,5,bogo,True,True,True,True,True
305,M,73,46000.0,2013,10,5,10,10,5,bogo,True,True,True,True,True
306,M,52,67000.0,2018,4,17,10,10,7,bogo,True,True,False,True,False
307,F,118,70598.23,2017,10,19,10,10,7,bogo,True,True,False,True,False
308,M,47,90000.0,2018,5,7,2,10,10,discount,True,True,True,True,False
309,F,32,49000.0,2015,10,7,2,10,10,discount,True,True,True,True,True
310,M,26,46000.0,2016,11,20,2,10,7,discount,True,True,True,False,False
311,M,46,53000.0,2016,5,22,5,5,7,bogo,True,True,True,False,True
312,M,33,56000.0,2015,8,22,0,0,3,informational,True,True,False,True,False
313,M,33,30000.0,2016,1,28,2,10,10,discount,True,True,True,True,True
314,F,39,38000.0,2016,11,24,3,7,7,discount,True,True,True,True,True
315,M,67,55000.0,2015,11,8,2,10,10,discount,True,True,True,True,True
316,F,57,85000.0,2015,11,10,2,10,10,discount,True,True,True,True,True
317,F,118,70598.23,2015,10,12,5,5,7,bogo,True,True,True,False,True
318,M,54,78000.0,2018,5,6,0,0,4,informational,True,True,True,False,False
319,M,74,114000.0,2016,10,20,10,10,7,bogo,True,True,False,True,True
320,F,118,70598.23,2016,12,12,10,10,7,bogo,True,True,False,True,False
321,F,52,60000.0,2015,12,26,2,10,7,discount,True,True,True,False,True
322,M,60,32000.0,2016,9,28,10,10,7,bogo,True,True,False,True,False
323,F,24,59000.0,2015,7,2,3,7,7,discount,True,True,True,True,True
324,F,51,56000.0,2016,5,17,3,7,7,discount,True,True,True,True,True
325,M,50,76000.0,2017,10,6,5,5,7,bogo,True,True,True,False,True
326,F,118,70598.23,2017,4,8,5,5,5,bogo,True,True,True,True,False
327,M,60,31000.0,2017,12,12,10,10,5,bogo,True,True,True,True,True
328,M,55,72000.0,2016,1,30,10,10,7,bogo,True,True,False,True,True
329,F,51,92000.0,2018,6,29,5,5,5,bogo,True,True,True,True,False
330,M,60,63000.0,2017,7,27,5,5,5,bogo,True,True,True,True,False
331,F,90,43000.0,2015,8,31,5,20,10,discount,True,False,True,False,True
332,M,36,53000.0,2018,3,11,10,10,7,bogo,True,True,False,True,False
333,F,80,109000.0,2017,11,24,0,0,4,informational,True,True,True,False,False
334,M,48,67000.0,2016,4,26,3,7,7,discount,True,True,True,True,True
335,M,78,46000.0,2018,4,30,10,10,7,bogo,True,True,False,True,False
336,F,75,100000.0,2017,5,9,0,0,3,informational,True,True,False,True,False
337,M,55,37000.0,2016,8,28,3,7,7,discount,True,True,True,True,True
338,F,70,58000.0,2015,9,14,10,10,7,bogo,True,True,False,True,True
339,M,26,53000.0,2017,11,4,10,10,7,bogo,True,True,False,True,True
340,F,60,118000.0,2016,9,13,0,0,3,informational,True,True,False,True,False
341,M,50,42000.0,2017,11,26,2,10,7,discount,True,True,True,False,False
342,F,118,70598.23,2016,10,31,10,10,7,bogo,True,True,False,True,False
343,M,80,112000.0,2018,6,2,3,7,7,discount,True,True,True,True,True
344,M,49,73000.0,2018,1,6,5,5,7,bogo,True,True,True,False,True
345,F,79,106000.0,2017,9,30,5,5,5,bogo,True,True,True,True,True
346,F,51,65000.0,2016,12,4,0,0,3,informational,True,True,False,True,False
347,M,49,74000.0,2018,4,1,10,10,7,bogo,True,True,False,True,True
348,M,63,54000.0,2014,12,23,5,5,5,bogo,True,True,True,True,False
349,F,61,78000.0,2018,5,27,10,10,7,bogo,True,True,False,True,True
350,F,38,38000.0,2015,10,21,10,10,5,bogo,True,True,True,True,False
351,M,74,33000.0,2017,8,17,2,10,10,discount,True,True,True,True,True
352,M,45,67000.0,2018,5,4,0,0,4,informational,True,True,True,False,False
353,M,24,59000.0,2017,1,10,10,10,7,bogo,True,True,False,True,True
354,M,82,65000.0,2018,4,11,5,5,5,bogo,True,True,True,True,True
355,M,45,90000.0,2017,12,23,5,20,10,discount,True,False,True,False,True
356,F,52,58000.0,2014,8,28,10,10,7,bogo,True,True,False,True,False
357,F,53,55000.0,2018,1,25,5,20,10,discount,True,False,True,False,True
358,F,64,63000.0,2017,10,23,5,5,5,bogo,True,True,True,True,True
359,M,69,70000.0,2018,3,9,2,10,7,discount,True,True,True,False,True
360,F,60,61000.0,2016,10,1,2,10,7,discount,True,True,True,False,True
361,M,64,46000.0,2015,11,8,2,10,10,discount,True,True,True,True,True
362,F,73,87000.0,2015,9,29,5,5,7,bogo,True,True,True,False,True
363,M,21,37000.0,2017,12,24,2,10,10,discount,True,True,True,True,False
364,M,41,71000.0,2016,2,16,10,10,5,bogo,True,True,True,True,True
365,F,59,91000.0,2017,11,23,3,7,7,discount,True,True,True,True,True
366,F,118,70598.23,2017,5,21,3,7,7,discount,True,True,True,True,True
367,M,85,60000.0,2016,6,25,3,7,7,discount,True,True,True,True,True
368,M,36,66000.0,2017,12,24,2,10,10,discount,True,True,True,True,True
369,F,118,70598.23,2016,3,22,10,10,5,bogo,True,True,True,True,False
